dataset_version,family,parameter,arch_seed,arch_id,gates_json,energy,exact,gap,label_steps,label_restarts,depth,n_single,n_double,n_parameters,high_energy,high_gap,high_steps,high_restarts
2026-09-v3-pauli-factor-graph,Hubbard,8.0,23,3,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[0,3]],[""S"",[1,2]],[""S"",[0,1]],[""S"",[0,2]],[""S"",[1,2]]]",-0.4711496451005645,-0.4721359549995794,0.0009863098990148,60,2,7,6,1,7,-0.472132859410757,3.095588822388251e-06,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,79,3,"[[""D"",[0,3,1,2]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[0,2]]]",-0.8274312976032281,-0.8284271247461902,0.000995827142962,60,2,8,3,5,8,-0.828427118111339,6.6348512239855495e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,51,11,"[[""S"",[3,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""S"",[1,2]],[""S"",[0,3]],[""S"",[0,2]],[""S"",[0,2]]]",-0.8274301117530035,-0.8284271247461902,0.0009970129931866,60,2,8,6,2,8,-0.8284271105152594,1.4230930767133998e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,0.0,11,22,"[[""S"",[0,1]],[""S"",[2,3]],[""S"",[2,3]],[""S"",[1,2]]]",-1.9989386756417316,-2.0,0.0010613243582686,60,2,4,4,0,4,-1.9999999565386155,4.346138449129455e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,51,9,"[[""D"",[0,3,1,2]],[""S"",[0,3]],[""S"",[2,3]],[""S"",[1,3]],[""S"",[0,3]]]",-0.8272460314900071,-0.8284271247461902,0.001181093256183,60,2,5,4,1,5,-0.828427115966205,8.779985183338113e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,23,6,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[2,3]]]",-0.4709316677856274,-0.4721359549995794,0.0012042872139519,60,2,3,2,1,3,-0.47213594027779027,1.4721789121097117e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,79,15,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""S"",[0,2]],[""D"",[0,1,2,3]]]",-0.470876489758764,-0.4721359549995794,0.0012594652408153,60,2,6,3,3,6,-0.4721359542832706,7.163087900607934e-10,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,79,5,"[[""S"",[3,2]],[""S"",[0,1]],[""D"",[0,2,1,3]],[""D"",[0,2,1,3]],[""S"",[0,1]]]",-0.826909727213796,-0.8284271247461902,0.0015173975323942,60,2,5,3,2,5,-0.8284270408405919,8.390559824711374e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,23,12,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[0,2]],[""S"",[1,3]],[""S"",[1,2]],[""D"",[0,1,2,3]]]",-0.4703627813208373,-0.4721359549995794,0.001773173678742,60,2,8,6,2,8,-0.4721037104212873,3.224457829209548e-05,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,79,15,"[[""D"",[0,3,1,2]],[""S"",[0,1]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""S"",[0,2]],[""D"",[0,1,2,3]]]",-0.8263904773599925,-0.8284271247461902,0.0020366473861976,60,2,6,3,3,6,-0.828427112228517,1.2517673231293713e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,51,21,"[[""D"",[0,3,1,2]],[""S"",[2,3]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""S"",[1,2]]]",-0.4698184529110762,-0.4721359549995794,0.0023175020885031,60,2,5,3,2,5,-0.4721359472828679,7.71671149202291e-09,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,79,16,"[[""S"",[0,1]],[""S"",[1,2]],[""D"",[0,1,2,3]],[""S"",[2,3]],[""S"",[1,3]],[""S"",[1,2]],[""S"",[1,3]]]",-0.8260288629753089,-0.8284271247461902,0.0023982617708813,60,2,7,6,1,7,-0.828427035605438,8.914075222410389e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,37,15,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,3]],[""D"",[0,2,1,3]]]",-0.4693233055511661,-0.4721359549995794,0.0028126494484133,60,2,7,4,3,7,-0.4721359052984828,4.970109657165267e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,37,5,"[[""S"",[3,2]],[""S"",[0,2]],[""S"",[1,2]],[""S"",[0,2]],[""S"",[2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]]]",-0.8231955433081675,-0.8284271247461902,0.0052315814380227,60,2,7,6,1,7,-0.828426886813566,2.3793262415860994e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,37,15,"[[""D"",[0,3,1,2]],[""S"",[0,2]],[""D"",[0,2,1,3]],[""S"",[0,1]],[""S"",[0,3]],[""S"",[0,3]],[""D"",[0,2,1,3]]]",-0.8230968916257436,-0.8284271247461902,0.0053302331204465,60,2,7,4,3,7,-0.8284270829684878,4.177770240865186e-08,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,37,16,"[[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[1,2]],[""S"",[1,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]]]",-0.7624101791260168,-0.8284271247461902,0.0660169456201733,60,2,7,4,3,7,-0.8284268506964768,2.74049713366864e-07,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,37,5,"[[""S"",[3,2]],[""S"",[0,2]],[""S"",[1,2]],[""S"",[0,2]],[""S"",[2,3]],[""S"",[2,3]],[""D"",[0,1,2,3]]]",-0.3415606403827183,-0.4721359549995794,0.1305753146168611,60,2,7,6,1,7,-0.4721316572176719,4.2977819074696555e-06,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,79,11,"[[""S"",[3,2]],[""D"",[0,2,1,3]],[""S"",[1,3]],[""D"",[0,2,1,3]],[""D"",[0,1,2,3]],[""S"",[0,1]]]",-0.2803144582361958,-0.4721359549995794,0.1918214967633835,60,2,6,3,3,6,-0.4717364287072916,0.00039952629228778846,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,37,16,"[[""S"",[0,1]],[""D"",[0,2,1,3]],[""S"",[1,2]],[""S"",[1,3]],[""S"",[2,3]],[""D"",[0,1,2,3]],[""D"",[0,1,2,3]]]",-0.2578215306969535,-0.4721359549995794,0.2143144243026258,60,2,7,4,3,7,-0.4720535375820203,8.24174175590997e-05,160,5
2026-09-v3-pauli-factor-graph,Hubbard,8.0,37,10,"[[""S"",[0,1]],[""S"",[0,2]],[""S"",[0,1]],[""S"",[2,3]]]",-0.2499126247527519,-0.4721359549995794,0.2222233302468275,60,2,4,4,0,4,-0.24999999801285422,0.22213595698672517,160,5
2026-09-v3-pauli-factor-graph,Hubbard,4.0,37,4,"[[""S"",[0,1]],[""D"",[0,1,2,3]],[""S"",[2,3]]]",-0.4999983227736645,-0.8284271247461902,0.3284288019725256,60,2,3,2,1,3,-0.49999999946627005,0.32842712527992013,160,5
